stdr_ym,induty_nm,sexdstn_code,agrde_code,setle_cascnt,setle_amount
202107,패밀리레스토랑,1,01,23,483550
202107,패밀리레스토랑,1,02,2874,86530207
202107,패밀리레스토랑,1,03,8758,263294249
202107,패밀리레스토랑,1,04,15581,445375470
202107,패밀리레스토랑,1,05,11230,305082333
202107,패밀리레스토랑,1,06,2990,81491035
202107,패밀리레스토랑,1,07,755,19079392
202107,패밀리레스토랑,2,01,17,917390
202107,패밀리레스토랑,2,02,3182,102130811
202107,패밀리레스토랑,2,03,9336,289689091
202107,패밀리레스토랑,2,04,22324,617596507
202107,패밀리레스토랑,2,05,16969,450550890
202107,패밀리레스토랑,2,06,4927,134051877
202107,패밀리레스토랑,2,07,1251,35522244
202108,한식,1,01,613,20255600
202108,한식,1,02,130697,4218316206
202108,한식,1,03,416065,13544619668
202108,한식,1,04,772041,25620791548
202108,한식,1,05,690124,22430195618
202108,한식,1,06,304001,9770260218
202108,한식,1,07,86614,2701677504
202108,한식,2,01,669,21709960
202108,한식,2,02,138362,4483827469
202108,한식,2,03,364757,11695253124
202108,한식,2,04,802258,25295078871
202108,한식,2,05,780094,24673982277
202108,한식,2,06,322603,10603388626
202108,한식,2,07,79611,2669782094
202108,일식,1,01,78,2697000
202108,일식,1,02,16348,650765475
202108,일식,1,03,38917,1703466596
202108,일식,1,04,56459,2631867362
202108,일식,1,05,46843,2100462804
202108,일식,1,06,16909,814205907
202108,일식,1,07,4959,208468838
202108,일식,2,01,108,3401270
202108,일식,2,02,19695,732136652
202108,일식,2,03,35725,1417167064
202108,일식,2,04,70053,2654188919
202108,일식,2,05,60444,2313177694
202108,일식,2,06,19653,836153733
202108,일식,2,07,4806,193794000
202108,중식,1,01,110,2736500
202108,중식,1,02,20839,489186555
202108,중식,1,03,68373,1694362127
202108,중식,1,04,131271,3093496281
202108,중식,1,05,97855,2214562366
202108,중식,1,06,33246,745955822
202108,중식,1,07,9150,213703321
202108,중식,2,01,146,2695452
202108,중식,2,02,19830,470700780
202108,중식,2,03,52941,1345996128
202108,중식,2,04,132493,3028719303
202108,중식,2,05,97627,2254222549
202108,중식,2,06,34297,833367191
202108,중식,2,07,9304,237121480
202108,양식,1,01,44,1308823
202108,양식,1,02,12349,414431004
202108,양식,1,03,32298,1128142431
202108,양식,1,04,39381,1305534969
202108,양식,1,05,28693,919464293
202108,양식,1,06,8338,253222199
202108,양식,1,07,2068,70050498
202108,양식,2,01,80,2563000
202108,양식,2,02,22133,715919553
202108,양식,2,03,41649,1306216923
202108,양식,2,04,62645,1848626922
202108,양식,2,05,49072,1417209216
202108,양식,2,06,14247,447729407
202108,양식,2,07,2855,100379966
202108,패스트푸드점,1,01,235,2235750
202108,패스트푸드점,1,02,43467,390902610
202108,패스트푸드점,1,03,130969,1174763725
202108,패스트푸드점,1,04,190289,1910235019
202108,패스트푸드점,1,05,100959,989114675
202108,패스트푸드점,1,06,25748,228902112
202108,패스트푸드점,1,07,8431,72825575
202108,패스트푸드점,2,01,194,2047180
202108,패스트푸드점,2,02,37313,331115035
202108,패스트푸드점,2,03,128319,1184826898
202108,패스트푸드점,2,04,259925,2596928517
202108,패스트푸드점,2,05,149886,1415639293
202108,패스트푸드점,2,06,44885,393324512
202108,패스트푸드점,2,07,11710,103826330
202108,패밀리레스토랑,1,01,20,880830
202108,패밀리레스토랑,1,02,3452,105909377
202108,패밀리레스토랑,1,03,9964,303839493
202108,패밀리레스토랑,1,04,17688,521311569
202108,패밀리레스토랑,1,05,13090,362795204
202108,패밀리레스토랑,1,06,3565,94616039
202108,패밀리레스토랑,1,07,854,23133929
202108,패밀리레스토랑,2,01,22,731673
202108,패밀리레스토랑,2,02,3714,122277886
202108,패밀리레스토랑,2,03,10507,326574967
202108,패밀리레스토랑,2,04,24590,690469202
202108,패밀리레스토랑,2,05,19335,518125371
202108,패밀리레스토랑,2,06,5869,158168511
202108,패밀리레스토랑,2,07,1344,37117184
202109,한식,1,01,605,22720190
202109,한식,1,02,116489,3855393578
202109,한식,1,03,379540,12822615000
202109,한식,1,04,681899,23015925551
202109,한식,1,05,590227,19537840176
202109,한식,1,06,262092,8707435238
202109,한식,1,07,77255,2485010528
202109,한식,2,01,518,17367410
202109,한식,2,02,122900,4026873794
202109,한식,2,03,335278,10886006011
202109,한식,2,04,689550,21403787847
202109,한식,2,05,661222,21011744033
202109,한식,2,06,279090,9525758808
202109,한식,2,07,70548,2455240591
202109,일식,1,01,71,2624300
202109,일식,1,02,15411,611916065
202109,일식,1,03,38867,1772640518
202109,일식,1,04,54891,2586638989
202109,일식,1,05,42942,2014185799
202109,일식,1,06,16181,820425307
202109,일식,1,07,4919,220162130
202109,일식,2,01,88,3132640
202109,일식,2,02,19078,713737119
202109,일식,2,03,36929,1457546401
202109,일식,2,04,66101,2499857735
202109,일식,2,05,56152,2194400497
202109,일식,2,06,19173,884663794
202109,일식,2,07,4803,208737020
202109,중식,1,01,100,2256754
202109,중식,1,02,18715,453932767
202109,중식,1,03,63554,1587171311
202109,중식,1,04,120268,2811044825
202109,중식,1,05,85707,1911701566
202109,중식,1,06,29340,667378718
202109,중식,1,07,8031,190839019
202109,중식,2,01,133,2733209
202109,중식,2,02,17961,423935283
202109,중식,2,03,50332,1293660624
202109,중식,2,04,116734,2579013688
202109,중식,2,05,84361,1929334723
202109,중식,2,06,29405,725724680
202109,중식,2,07,7935,210504097
202109,양식,1,01,59,2001240
202109,양식,1,02,11335,389958133
202109,양식,1,03,30520,1098871234
202109,양식,1,04,35133,1201162817
202109,양식,1,05,24262,799561554
202109,양식,1,06,7547,248500984
202109,양식,1,07,1853,66570485
202109,양식,2,01,81,2138613
202109,양식,2,02,20499,682543666
202109,양식,2,03,41062,1321000279
202109,양식,2,04,55162,1622870399
